,,,,,,,,,,,,,,,,,,
,Park,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits,Non-Recreation Visits,Recreation Hours,Non-Recreation Hours,"Concessioner
Lodging","Concessioner
Camping",Tent Campers,RV Campers,Backcountry Campers,Non-Recreation Overnight Stays,Misc. Overnight Stays
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,1,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,2,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,3,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,4,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,5,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,6,20,0,"1,200",0,0,0,0,0,50,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,7,35,0,"1,920",0,0,0,0,0,80,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,8,35,0,"1,920",0,0,0,0,0,80,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,9,10,0,600,0,0,0,0,0,25,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,10,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,11,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2016,12,0,0,0,0,0,0,0,0,0,0,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,1,"1,400",700,"3,400",700,0,0,0,0,550,350,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,2,600,300,"1,500",300,0,0,0,0,300,200,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,3,700,350,"1,700",350,0,0,0,0,325,350,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,4,800,400,"2,000",400,0,0,0,0,375,350,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,5,900,450,"2,200",450,0,0,0,0,400,350,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,6,"1,000",500,"2,500",500,0,0,0,0,475,475,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,7,"1,100",550,"2,700",550,0,0,0,0,525,475,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,8,"1,500",750,"3,800",750,0,0,0,0,500,375,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,9,"1,500",750,"3,800",750,0,0,0,0,500,450,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,10,"1,500",750,"3,800",750,0,0,0,0,500,550,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,11,"2,500","1,250","6,500","1,250",0,0,0,0,"1,200","1,000",0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2016,12,"1,500",750,"3,500",750,0,0,0,0,725,600,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,1,500,"14,384","7,224","14,384",0,0,0,0,72,0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,2,"1,303","14,642","18,264","14,642",0,0,0,0,180,0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,3,"2,948","21,568","35,972","21,568",0,0,0,0,219,0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,4,"5,057","47,840","88,720","47,840",0,0,0,0,820,0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,5,"50,776","127,519","1,001,042","127,519",0,0,"1,340","1,292","16,951",0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,6,"139,310","165,167","2,285,188","165,167",0,0,"13,501","5,925","22,466",0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,7,"160,357","172,381","1,968,416","172,381",0,0,"13,527","5,727","4,486",0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,8,"151,365","129,106","1,789,762","129,106",0,0,"13,351","4,713","3,171",0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,9,"69,907","55,817","871,886","55,817",0,0,"8,550","3,600",910,0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,10,"2,934","25,568","36,202","25,568",0,0,0,0,31,0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,11,"1,446","19,420","19,620","19,420",0,0,0,0,2,0,0
,Denali NP & PRES,DENA,National Park,Alaska,AK,2016,12,"1,509","12,334","20,870","12,334",0,0,0,0,1,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,1,306,0,153,0,0,0,0,0,0,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,2,310,0,155,0,0,0,0,0,0,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,3,389,0,194,0,0,0,0,0,0,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,4,172,0,86,0,0,0,0,0,0,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,5,164,0,129,0,0,0,0,0,2,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,6,"1,349",0,"29,834",0,0,0,0,0,"1,218",0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,7,"3,026",0,"72,822",0,0,0,0,0,"2,978",0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,8,"3,137",0,"85,420",0,0,0,0,0,"3,502",0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,9,"1,027",0,"6,994",0,0,0,0,0,271,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,10,29,0,14,0,0,0,0,0,0,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,11,18,0,9,0,0,0,0,0,0,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,12,120,0,60,0,0,0,0,0,0,0,0
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,1,173,0,"2,796",0,0,0,0,0,22,0,70
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,2,173,16,"2,796",16,0,0,0,0,22,160,70
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,3,173,5,"2,796",5,0,0,0,0,22,25,70
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,4,"2,505",18,"34,684",18,0,0,0,0,48,190,247
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,5,"80,664",102,"990,679",102,458,0,80,0,516,"1,080",430
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,6,"115,336",124,"1,514,572",124,"3,364",0,215,0,"1,009","1,415","4,387"
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,7,"115,207",121,"1,577,436",121,"4,651",0,346,0,"2,055","1,480","4,760"
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,8,"120,251",118,"1,554,684",118,"2,543",0,248,0,"1,534","1,430","3,399"
